id,url,ref
Bersier et al 2002,http://dx.doi.org/10.1890/0012-9658(2002)083[2394:QDOFWM]2.0.CO;2,"Bersier, L. and Banašek-Richter, C. and Cattin, M. (2002) Ecology 80 2394-2407"
Briand & Cohen 1984,http://dx.doi.org/10.1038/307264a0,"Briand, F and Cohen, J.E. 1984 Community food webs have scale-invariant structure Nature 307, 264-267"
Cohen et al 1993,http://dx.doi.org/10.2307/5483,"Cohen, J.E. and Pimm, S.L. and Yodzis, P. and Saldana, J. 1993 Body sizes of animal predators and animal prey in food webs. Journal of Animal Ecology 62 1 67-78"
Cohen et al 2003,http://dx.doi.org/10.1073/pnas.232715699,"Cohen, J.E. and Jonsson, T. and Carpenter, S.R. (2003) Ecological community description using the food web species abundance and body size. Proceedings of the National Academy of Sciences of the United States of America 100 4 1781-1786"
Cohen et al 2009,http://dx.doi.org/10.1073/pnas.0910582106,"Cohen, J.E. and Schittler, D.N. and Raffaelli, D.G. and Reuman, D.C. (2009) Food webs are more than the sum of their tritrophic parts. Proceedings of the National Academy of Sciences of the United States of America 106, 52, 22335-22340"
Jonsson et al 2005,http://dx.doi.org/10.1016/S0065-2504(05)36001-6,"Jonsson, T. and Cohen J.E. and Carpenter, S. R. 2005 Food webs body size and species abundance in ecological community description. Advances in Ecological Research 36 1-84"
Kerr & Dickie 2001,http://cup.columbia.edu/book/978-0-231-08458-1/the-biomass-spectrum,"Kerr, S.R. and Dickie, L.M. 2001 The biomass spectrum: a predator-prey theory of aquatic production. Columbia Univ Press"
Leaper & Raffaelli 1999,http://dx.doi.org/10.1046/j.1461-0248.1999.00069.x,"Leaper,  R. and Raffaelli,  D. (1999) Defining the abundance body-size constraint space: data from a real food web. Ecology Letters 2  3 191-199"
Levine 1980,http://dx.doi.org/10.1016/0022-5193(80)90288-X,"Levine, S (1980) Several measures of trophic structure applicable to complex food webs. Journal of Theoretical Biology 83, 195-207"
Martinez 1991,http://dx.doi.org/10.2307/2937047,"Martinez, N. D. 1991 Artifacts or attributes? Effects of resolution on the Little Rock Lake food web. Ecological Monographs 61, 367-392"
Pimm et al 1991,http://dx.doi.org/10.1038/350669a0,"Pimm, S.L. and Lawton, J.H. and Cohen, J.E. 1991 Food web patterns and their consequences Nature 350, 669-674"
Polis 1991,http://www.jstor.org/discover/10.2307/2462536?uid=3738032&amp;uid=2&amp;uid=4&amp;sid=21103711065523,"Polis, G. A. (1991) Complex desert food webs: an empirical critique of food web theory. American Naturalist 138, 123-155"
Stouffer et al 2006,http://dx.doi.org/10.1073/pnas.0603844103,"Stouffer, D.B. and Camacho, J. and Amaral, L.A.N. (2006) Proceedings of the National Academy of Sciences of the United States of America 103, 50, 19015-19020"
Williams & Martinez 2000,http://dx.doi.org/10.1038/35004572,"Williams, R.J. and Martinez, N.D. (2000) Simple rules yield complex food webs. Nature 404, 180-183"
Williams & Martinez 2004,http://dx.doi.org/10.1086/381964,"Williams, R. J. and Martinez, N. D. (2004) Limits to Trophic Levels and Omnivory in Complex Food Webs: Theory and Data. American Naturalist 163, 63, 458-468."
Zook et al 2011,http://dx.doi.org/10.1016/j.jtbi.2010.11.045,"Zook, A.E. and Eklof, A. and Jacob, U. and Allesina, S. (2011) Journal of Theoretical Biology 271, 1 106-113"
